,emoji,meanings_en,meanings_ru
3018,👩🏾‍❤‍👩🏻,"[""couple with heart: woman, woman""]","[""пара с сердцем: женщина, женщина""]"
3019,👩🏾‍❤️‍👩🏼,"[""couple with heart: woman, woman""]","[""пара с сердцем: женщина, женщина""]"
3020,👩🏾‍❤‍👩🏼,"[""couple with heart: woman, woman""]","[""пара с сердцем: женщина, женщина""]"
3021,👩🏾‍❤️‍👩🏽,"[""couple with heart: woman, woman""]","[""пара с сердцем: женщина, женщина""]"
3022,👩🏾‍❤‍👩🏽,"[""couple with heart: woman, woman""]","[""пара с сердцем: женщина, женщина""]"
3023,👩🏾‍❤️‍👩🏾,"[""couple with heart: woman, woman""]","[""пара с сердцем: женщина, женщина""]"
3024,👩🏾‍❤‍👩🏾,"[""couple with heart: woman, woman""]","[""пара с сердцем: женщина, женщина""]"
3025,👩🏾‍❤️‍👩🏿,"[""couple with heart: woman, woman""]","[""пара с сердцем: женщина, женщина""]"
3026,👩🏾‍❤‍👩🏿,"[""couple with heart: woman, woman""]","[""пара с сердцем: женщина, женщина""]"
3027,👩🏿‍❤️‍👩🏻,"[""couple with heart: woman, woman""]","[""пара с сердцем: женщина, женщина""]"
3028,👩🏿‍❤‍👩🏻,"[""couple with heart: woman, woman""]","[""пара с сердцем: женщина, женщина""]"
3029,👩🏿‍❤️‍👩🏼,"[""couple with heart: woman, woman""]","[""пара с сердцем: женщина, женщина""]"
3030,👩🏿‍❤‍👩🏼,"[""couple with heart: woman, woman""]","[""пара с сердцем: женщина, женщина""]"
3031,👩🏿‍❤️‍👩🏽,"[""couple with heart: woman, woman""]","[""пара с сердцем: женщина, женщина""]"
3032,👩🏿‍❤‍👩🏽,"[""couple with heart: woman, woman""]","[""пара с сердцем: женщина, женщина""]"
3033,👩🏿‍❤️‍👩🏾,"[""couple with heart: woman, woman""]","[""пара с сердцем: женщина, женщина""]"
3034,👩🏿‍❤‍👩🏾,"[""couple with heart: woman, woman""]","[""пара с сердцем: женщина, женщина""]"
3035,👩🏿‍❤️‍👩🏿,"[""couple with heart: woman, woman""]","[""пара с сердцем: женщина, женщина""]"
3036,👩🏿‍❤‍👩🏿,"[""couple with heart: woman, woman""]","[""пара с сердцем: женщина, женщина""]"
3037,👪,"[""family"", ""parents with child""]","[""семья"", ""родители с ребенком""]"
3038,👨‍👩‍👦,"[""family: man, woman, boy""]","[""семья: мужчина, женщина, мальчик""]"
3039,👨‍👩‍👧,"[""family: man, woman, girl""]","[""семья: мужчина, женщина, девушка""]"
3040,👨‍👩‍👧‍👦,"[""family: man, woman, girl, boy""]","[""семья: мужчина, женщина, девочка, мальчик""]"
3041,👨‍👩‍👦‍👦,"[""family: man, woman, boy, boy""]","[""семья: мужчина, женщина, мальчик, мальчик""]"
3042,👨‍👩‍👧‍👧,"[""family: man, woman, girl, girl""]","[""семья: мужчина, женщина, девушка, девушка""]"
3043,👨‍👨‍👦,"[""family: man, man, boy""]","[""семья: человек, человек, мальчик""]"
3044,👨‍👨‍👧,"[""family: man, man, girl""]","[""семья: человек, мужчина, девочка""]"
3045,👨‍👨‍👧‍👦,"[""family: man, man, girl, boy""]","[""семья: мужчина, мужчина, девочка, мальчик""]"
3046,👨‍👨‍👦‍👦,"[""family: man, man, boy, boy""]","[""семья: человек, человек, мальчик, мальчик""]"
3047,👨‍👨‍👧‍👧,"[""family: man, man, girl, girl""]","[""семья: мужчина, мужчина, девочка, девочка""]"
3048,👩‍👩‍👦,"[""family: woman, woman, boy""]","[""семья: женщина, женщина, мальчик""]"
3049,👩‍👩‍👧,"[""family: woman, woman, girl""]","[""семья: женщина, женщина, девушка""]"
3050,👩‍👩‍👧‍👦,"[""family: woman, woman, girl, boy""]","[""семья: женщина, женщина, девочка, мальчик""]"
3051,👩‍👩‍👦‍👦,"[""family: woman, woman, boy, boy""]","[""семья: женщина, женщина, мальчик, мальчик""]"
3052,👩‍👩‍👧‍👧,"[""family: woman, woman, girl, girl""]","[""семья: женщина, женщина, девушка, девушка""]"
3053,👨‍👦,"[""family: man, boy""]","[""семья: человек, мальчик""]"
3054,👨‍👦‍👦,"[""family: man, boy, boy""]","[""семья: человек, мальчик, мальчик""]"
3055,👨‍👧,"[""family: man, girl""]","[""семья: человек, девушка""]"
3056,👨‍👧‍👦,"[""family: man, girl, boy""]","[""семья: мужчина, девочка, мальчик""]"
3057,👨‍👧‍👧,"[""family: man, girl, girl""]","[""семья: мужчина, девушка, девушка""]"
3058,👩‍👦,"[""family: woman, boy""]","[""семья: женщина, мальчик""]"
3059,👩‍👦‍👦,"[""family: woman, boy, boy""]","[""семья: женщина, мальчик, мальчик""]"
3060,👩‍👧,"[""family: woman, girl""]","[""семья: женщина, девушка""]"
3061,👩‍👧‍👦,"[""family: woman, girl, boy""]","[""семья: женщина, девочка, мальчик""]"
3062,👩‍👧‍👧,"[""family: woman, girl, girl""]","[""семья: женщина, девушка, девушка""]"
3063,🗣️,"[""speaking head"", ""mansplaining"", ""shout"", ""shouting""]","[""говоря голова"", ""человечество"", ""кричать"", ""кричать""]"
3064,🗣,"[""speaking head"", ""mansplaining"", ""shout"", ""shouting""]","[""говоря голова"", ""человечество"", ""кричать"", ""кричать""]"
3065,👤,"[""bust in silhouette"", ""shadow"", ""silhouette"", ""user""]","[""бюст в силуэте"", ""тень"", ""силуэт"", ""пользователь""]"
3066,👥,"[""busts in silhouette"", ""shadows"", ""silhouettes"", ""users""]","[""бюсты в silhouette"", ""тени"", ""силуэты"", ""пользователи""]"
3067,🫂,"[""people hugging""]","[""люди hugging""]"
3068,👣,"[""footprints"", ""feet"", ""footsteps""]","[""следы"", ""ноги"", ""Стопы""]"
3069,🐵,"[""monkey face"", ""monkey head""]","[""обезьяна лицо"", ""голова обезьяны""]"
3070,🐒,"[""monkey"", ""cheeky monkey""]","[""обезьяна"", ""cheeky обезьяна""]"
3071,🦍,"[""gorilla""]","[""горилла""]"
3072,🦧,"[""orangutan""]","[""орангутан""]"
3073,🐶,"[""dog face"", ""dog"", ""puppy""]","[""собака лицо"", ""собака"", ""щенок""]"
3074,🐕,"[""dog"", ""doggo""]","[""собака"", ""собака""]"
3075,🦮,"[""guide dog"", ""seeing eye dog""]","[""гид собака"", ""видеть собаку глаза""]"
3076,🐕‍🦺,"[""service dog""]","[""услуги собака""]"
3077,🐩,"[""poodle"", ""miniature poodle"", ""standard poodle"", ""toy poodle""]","[""пюль"", ""миниатюрная пудель"", ""стандартная poodle"", ""игрушки poodle""]"
3078,🐺,"[""wolf""]","[""Волк""]"
3079,🦊,"[""fox"", ""fox""]","[""Ликс"", ""Ликс""]"
3080,🦝,"[""raccoon""]","[""раккон""]"
3081,🐱,"[""cat face"", "":3"", ""kitten"", ""kitty""]","[""кошки лицо"", "":3"", ""котенок"", ""кошки""]"
3082,🐈,"[""cat"", ""domestic cat"", ""feline"", ""housecat""]","[""кот"", ""домашний кот"", ""фелин"", ""домка""]"
3083,🐈‍⬛,"[""black cat""]","[""черный кот""]"
3084,🦁,"[""lion""]","[""лев""]"
3085,🐯,"[""tiger face"", ""cute tiger""]","[""тигр лицо"", ""милый тигр""]"
3086,🐅,"[""tiger"", ""bengal tiger""]","[""тигр"", ""bengal тигр""]"
3087,🐆,"[""leopard"", ""african leopard"", ""jaguar""]","[""леопард"", ""african леопард"", ""Ягуар""]"
3088,🐴,"[""horse face"", ""horse head""]","[""лошади лицо"", ""лошадь голова""]"
3089,🐎,"[""horse"", ""galloping horse"", ""racehorse""]","[""лошади"", ""галлопинг лошадь"", ""забег""]"
3090,🦄,"[""unicorn"", ""unicorn""]","[""единорог"", ""единорог""]"
3091,🦓,"[""zebra""]","[""Зебра""]"
3092,🦌,"[""deer"", ""buck"", ""reindeer"", ""stag""]","[""Олень"", ""бак"", ""реиндеер"", ""стаг""]"
3093,🦬,"[""bison"", ""buffalo""]","[""бисон"", ""Буффало""]"
3094,🐮,"[""cow face"", ""cow"", ""happy cow""]","[""корова лицо"", ""корова"", ""счастливая корова""]"
3095,🐂,"[""ox"", ""bull"", ""bullock"", ""oxen"", ""steer""]","[""окс"", ""бык"", ""Блок"", ""оксен"", ""стейер""]"
3096,🐃,"[""water buffalo"", ""buffalo"", ""domestic water buffalo""]","[""буффало воды"", ""Буффало"", ""домашняя вода buffalo""]"
3097,🐄,"[""cow"", ""dairy cow""]","[""корова"", ""молочная корова""]"
3098,🐷,"[""pig face"", ""pig head""]","[""свиное лицо"", ""свиная голова""]"
3099,🐖,"[""pig"", ""hog"", ""sow""]","[""свиней"", ""Хонг"", ""Сью""]"
3100,🐗,"[""boar"", ""warthog"", ""wild boar"", ""wild pig""]","[""Бар"", ""Война"", ""дикий бар"", ""дикая свинья""]"
3101,🐽,"[""pig nose"", ""pig snout""]","[""свиньи нос"", ""свиньи snout""]"
3102,🐏,"[""ram"", ""sheep""]","[""драм"", ""овец""]"
3103,🐑,"[""ewe"", ""ewe"", ""lamb""]","[""Эве"", ""Эве"", ""баранина""]"
3104,🐐,"[""goat""]","[""козы""]"
3105,🐪,"[""camel"", ""arabian camel"", ""dromedary camel"", ""one-bump camel""]","[""верблюд"", ""арабский верблюд"", ""Дромедина верблюда"", ""one-bump верблюд""]"
3106,🐫,"[""two-hump camel"", ""asian camel"", ""bactrian camel"", ""two-bump camel""]","[""двухрамный верблюд"", ""Азии верблюд"", ""бактерий верблюд"", ""двухбумажный верблюд""]"
3107,🦙,"[""llama"", ""alpaca""]","[""Ллама"", ""Альпака""]"
3108,🦒,"[""giraffe""]","[""giraffe""]"
3109,🐘,"[""elephant""]","[""слон""]"
3110,🦣,"[""mammoth""]","[""мамонт""]"
3111,🦏,"[""rhinoceros"", ""rhino""]","[""ринокеро"", ""Рино""]"
3112,🦛,"[""hippopotamus"", ""hippo""]","[""хиппопотамус"", ""хиппо""]"
3113,🐭,"[""mouse face"", ""mouse""]","[""мыши лицо"", ""мыши""]"
3114,🐁,"[""mouse"", ""dormouse"", ""mice"", ""rodent""]","[""мыши"", ""dormouse"", ""мыши"", ""стержень""]"
3115,🐀,"[""rat"", ""rodent""]","[""крыса"", ""стержень""]"
3116,🐹,"[""hamster"", ""hamster""]","[""гамстер"", ""гамстер""]"
3117,🐰,"[""rabbit face"", ""easter bunny""]","[""кроликовое лицо"", ""пасхальный кролик""]"
3118,🐇,"[""rabbit"", ""bunny"", ""bunny rabbit""]","[""кролик"", ""кролик"", ""кролик кролика""]"
3119,🐿️,"[""chipmunk"", ""squirrel""]","[""чипмун"", ""Сквирель""]"
3120,🐿,"[""chipmunk"", ""squirrel""]","[""чипмун"", ""Сквирель""]"
3121,🦫,"[""beaver""]","[""Беавер""]"
3122,🦔,"[""hedgehog""]","[""хеджог""]"
3123,🦇,"[""bat"", ""batman""]","[""бат"", ""батман""]"
