,emoji,meanings,words,poses
1921,🧎🏾‍♀,"[""Woman Kneeling: Medium-Dark Skin Tone""]","[""skin"", ""woman"", ""medium-dark"", ""kneeling"", ""tone"", "":""]","{""woman"": ""ADJ"", ""kneeling"": ""VERB"", "":"": ""."", ""medium-dark"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1922,🧎🏿‍♀️,"[""Woman Kneeling: Dark Skin Tone""]","[""skin"", ""woman"", ""tone"", ""kneeling"", ""dark"", "":""]","{""woman"": ""ADJ"", ""kneeling"": ""VERB"", "":"": ""."", ""dark"": ""NOUN"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1923,🧎🏿‍♀,"[""Woman Kneeling: Dark Skin Tone""]","[""skin"", ""woman"", ""tone"", ""kneeling"", ""dark"", "":""]","{""woman"": ""ADJ"", ""kneeling"": ""VERB"", "":"": ""."", ""dark"": ""NOUN"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1924,🧑‍🦯,"[""Person with White Cane""]","[""white"", ""person"", ""with"", ""cane""]","{""person"": ""NOUN"", ""with"": ""ADP"", ""white"": ""NOUN"", ""cane"": ""NOUN""}"
1925,🧑🏻‍🦯,"[""Person with White Cane: Light Skin Tone""]","[""skin"", ""tone"", ""light"", ""person"", "":"", ""cane"", ""white"", ""with""]","{""person"": ""NOUN"", ""with"": ""ADP"", ""white"": ""NOUN"", ""cane"": ""NOUN"", "":"": ""."", ""light"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1926,🧑🏼‍🦯,"[""Person with White Cane: Medium-Light Skin Tone""]","[""skin"", ""tone"", ""person"", "":"", ""cane"", ""white"", ""medium-light"", ""with""]","{""person"": ""NOUN"", ""with"": ""ADP"", ""white"": ""NOUN"", ""cane"": ""NOUN"", "":"": ""."", ""medium-light"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1927,🧑🏽‍🦯,"[""Person with White Cane: Medium Skin Tone""]","[""skin"", ""tone"", ""person"", "":"", ""cane"", ""white"", ""with"", ""medium""]","{""person"": ""NOUN"", ""with"": ""ADP"", ""white"": ""NOUN"", ""cane"": ""NOUN"", "":"": ""."", ""medium"": ""NOUN"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1928,🧑🏾‍🦯,"[""Person with White Cane: Medium-Dark Skin Tone""]","[""skin"", ""tone"", ""person"", "":"", ""cane"", ""white"", ""medium-dark"", ""with""]","{""person"": ""NOUN"", ""with"": ""ADP"", ""white"": ""NOUN"", ""cane"": ""NOUN"", "":"": ""."", ""medium-dark"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1929,🧑🏿‍🦯,"[""Person with White Cane: Dark Skin Tone""]","[""skin"", ""dark"", ""tone"", ""person"", "":"", ""cane"", ""white"", ""with""]","{""person"": ""NOUN"", ""with"": ""ADP"", ""white"": ""NOUN"", ""cane"": ""NOUN"", "":"": ""."", ""dark"": ""NOUN"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1930,👨‍🦯,"[""Man with White Cane""]","[""white"", ""with"", ""man"", ""cane""]","{""man"": ""NOUN"", ""with"": ""ADP"", ""white"": ""NOUN"", ""cane"": ""NOUN""}"
1931,👨🏻‍🦯,"[""Man with White Cane: Light Skin Tone""]","[""skin"", ""tone"", ""light"", "":"", ""cane"", ""white"", ""with"", ""man""]","{""man"": ""NOUN"", ""with"": ""ADP"", ""white"": ""NOUN"", ""cane"": ""NOUN"", "":"": ""."", ""light"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1932,👨🏼‍🦯,"[""Man with White Cane: Medium-Light Skin Tone""]","[""skin"", ""tone"", "":"", ""cane"", ""white"", ""medium-light"", ""with"", ""man""]","{""man"": ""NOUN"", ""with"": ""ADP"", ""white"": ""NOUN"", ""cane"": ""NOUN"", "":"": ""."", ""medium-light"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1933,👨🏽‍🦯,"[""Man with White Cane: Medium Skin Tone""]","[""skin"", ""tone"", "":"", ""cane"", ""white"", ""with"", ""medium"", ""man""]","{""man"": ""NOUN"", ""with"": ""ADP"", ""white"": ""NOUN"", ""cane"": ""NOUN"", "":"": ""."", ""medium"": ""NOUN"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1934,👨🏾‍🦯,"[""Man with White Cane: Medium-Dark Skin Tone""]","[""skin"", ""tone"", "":"", ""cane"", ""white"", ""medium-dark"", ""with"", ""man""]","{""man"": ""NOUN"", ""with"": ""ADP"", ""white"": ""NOUN"", ""cane"": ""NOUN"", "":"": ""."", ""medium-dark"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1935,👨🏿‍🦯,"[""Man with White Cane: Dark Skin Tone""]","[""skin"", ""dark"", ""tone"", "":"", ""cane"", ""white"", ""with"", ""man""]","{""man"": ""NOUN"", ""with"": ""ADP"", ""white"": ""NOUN"", ""cane"": ""NOUN"", "":"": ""."", ""dark"": ""NOUN"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1936,👩‍🦯,"[""Woman with White Cane""]","[""cane"", ""white"", ""with"", ""woman""]","{""woman"": ""NOUN"", ""with"": ""ADP"", ""white"": ""NOUN"", ""cane"": ""NOUN""}"
1937,👩🏻‍🦯,"[""Woman with White Cane: Light Skin Tone""]","[""skin"", ""tone"", ""light"", ""cane"", "":"", ""white"", ""woman"", ""with""]","{""woman"": ""NOUN"", ""with"": ""ADP"", ""white"": ""NOUN"", ""cane"": ""NOUN"", "":"": ""."", ""light"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1938,👩🏼‍🦯,"[""Woman with White Cane: Medium-Light Skin Tone""]","[""skin"", ""medium-light"", ""tone"", ""cane"", "":"", ""white"", ""woman"", ""with""]","{""woman"": ""NOUN"", ""with"": ""ADP"", ""white"": ""NOUN"", ""cane"": ""NOUN"", "":"": ""."", ""medium-light"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1939,👩🏽‍🦯,"[""Woman with White Cane: Medium Skin Tone""]","[""skin"", ""tone"", ""cane"", "":"", ""white"", ""woman"", ""with"", ""medium""]","{""woman"": ""NOUN"", ""with"": ""ADP"", ""white"": ""NOUN"", ""cane"": ""NOUN"", "":"": ""."", ""medium"": ""NOUN"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1940,👩🏾‍🦯,"[""Woman with White Cane: Medium-Dark Skin Tone""]","[""skin"", ""tone"", ""cane"", "":"", ""white"", ""medium-dark"", ""woman"", ""with""]","{""woman"": ""NOUN"", ""with"": ""ADP"", ""white"": ""NOUN"", ""cane"": ""NOUN"", "":"": ""."", ""medium-dark"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1941,👩🏿‍🦯,"[""Woman with White Cane: Dark Skin Tone""]","[""skin"", ""dark"", ""tone"", ""cane"", "":"", ""white"", ""woman"", ""with""]","{""woman"": ""NOUN"", ""with"": ""ADP"", ""white"": ""NOUN"", ""cane"": ""NOUN"", "":"": ""."", ""dark"": ""NOUN"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1942,🧑‍🦼,"[""Person in Motorized Wheelchair""]","[""motorized"", ""in"", ""person"", ""wheelchair""]","{""person"": ""NOUN"", ""in"": ""ADP"", ""motorized"": ""NOUN"", ""wheelchair"": ""NOUN""}"
1943,🧑🏻‍🦼,"[""Person in Motorized Wheelchair: Light Skin Tone""]","[""skin"", ""tone"", ""light"", ""person"", ""wheelchair"", "":"", ""motorized"", ""in""]","{""person"": ""NOUN"", ""in"": ""ADP"", ""motorized"": ""NOUN"", ""wheelchair"": ""NOUN"", "":"": ""."", ""light"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1944,🧑🏼‍🦼,"[""Person in Motorized Wheelchair: Medium-Light Skin Tone""]","[""skin"", ""tone"", ""person"", ""wheelchair"", "":"", ""medium-light"", ""motorized"", ""in""]","{""person"": ""NOUN"", ""in"": ""ADP"", ""motorized"": ""NOUN"", ""wheelchair"": ""NOUN"", "":"": ""."", ""medium-light"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1945,🧑🏽‍🦼,"[""Person in Motorized Wheelchair: Medium Skin Tone""]","[""skin"", ""tone"", ""person"", ""wheelchair"", "":"", ""motorized"", ""in"", ""medium""]","{""person"": ""NOUN"", ""in"": ""ADP"", ""motorized"": ""NOUN"", ""wheelchair"": ""NOUN"", "":"": ""."", ""medium"": ""NOUN"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1946,🧑🏾‍🦼,"[""Person in Motorized Wheelchair: Medium-Dark Skin Tone""]","[""skin"", ""tone"", ""person"", ""wheelchair"", "":"", ""medium-dark"", ""motorized"", ""in""]","{""person"": ""NOUN"", ""in"": ""ADP"", ""motorized"": ""NOUN"", ""wheelchair"": ""NOUN"", "":"": ""."", ""medium-dark"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1947,🧑🏿‍🦼,"[""Person in Motorized Wheelchair: Dark Skin Tone""]","[""skin"", ""dark"", ""tone"", ""person"", ""wheelchair"", "":"", ""motorized"", ""in""]","{""person"": ""NOUN"", ""in"": ""ADP"", ""motorized"": ""NOUN"", ""wheelchair"": ""NOUN"", "":"": ""."", ""dark"": ""NOUN"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1948,👨‍🦼,"[""Man in Motorized Wheelchair""]","[""motorized"", ""in"", ""wheelchair"", ""man""]","{""man"": ""NOUN"", ""in"": ""ADP"", ""motorized"": ""NOUN"", ""wheelchair"": ""NOUN""}"
1949,👨🏻‍🦼,"[""Man in Motorized Wheelchair: Light Skin Tone""]","[""skin"", ""tone"", ""light"", ""wheelchair"", "":"", ""motorized"", ""in"", ""man""]","{""man"": ""NOUN"", ""in"": ""ADP"", ""motorized"": ""NOUN"", ""wheelchair"": ""NOUN"", "":"": ""."", ""light"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1950,👨🏼‍🦼,"[""Man in Motorized Wheelchair: Medium-Light Skin Tone""]","[""skin"", ""tone"", ""wheelchair"", "":"", ""medium-light"", ""motorized"", ""in"", ""man""]","{""man"": ""NOUN"", ""in"": ""ADP"", ""motorized"": ""NOUN"", ""wheelchair"": ""NOUN"", "":"": ""."", ""medium-light"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1951,👨🏽‍🦼,"[""Man in Motorized Wheelchair: Medium Skin Tone""]","[""skin"", ""tone"", ""wheelchair"", "":"", ""motorized"", ""in"", ""medium"", ""man""]","{""man"": ""NOUN"", ""in"": ""ADP"", ""motorized"": ""NOUN"", ""wheelchair"": ""NOUN"", "":"": ""."", ""medium"": ""NOUN"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1952,👨🏾‍🦼,"[""Man in Motorized Wheelchair: Medium-Dark Skin Tone""]","[""skin"", ""tone"", ""wheelchair"", "":"", ""medium-dark"", ""motorized"", ""in"", ""man""]","{""man"": ""NOUN"", ""in"": ""ADP"", ""motorized"": ""NOUN"", ""wheelchair"": ""NOUN"", "":"": ""."", ""medium-dark"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1953,👨🏿‍🦼,"[""Man in Motorized Wheelchair: Dark Skin Tone""]","[""skin"", ""dark"", ""tone"", ""wheelchair"", "":"", ""motorized"", ""in"", ""man""]","{""man"": ""NOUN"", ""in"": ""ADP"", ""motorized"": ""NOUN"", ""wheelchair"": ""NOUN"", "":"": ""."", ""dark"": ""NOUN"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1954,👩‍🦼,"[""Woman in Motorized Wheelchair""]","[""motorized"", ""in"", ""wheelchair"", ""woman""]","{""woman"": ""NOUN"", ""in"": ""ADP"", ""motorized"": ""NOUN"", ""wheelchair"": ""NOUN""}"
1955,👩🏻‍🦼,"[""Woman in Motorized Wheelchair: Light Skin Tone""]","[""skin"", ""tone"", ""light"", ""wheelchair"", "":"", ""woman"", ""motorized"", ""in""]","{""woman"": ""NOUN"", ""in"": ""ADP"", ""motorized"": ""NOUN"", ""wheelchair"": ""NOUN"", "":"": ""."", ""light"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1956,👩🏼‍🦼,"[""Woman in Motorized Wheelchair: Medium-Light Skin Tone""]","[""skin"", ""medium-light"", ""tone"", ""wheelchair"", "":"", ""woman"", ""motorized"", ""in""]","{""woman"": ""NOUN"", ""in"": ""ADP"", ""motorized"": ""NOUN"", ""wheelchair"": ""NOUN"", "":"": ""."", ""medium-light"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1957,👩🏽‍🦼,"[""Woman in Motorized Wheelchair: Medium Skin Tone""]","[""skin"", ""tone"", ""wheelchair"", "":"", ""woman"", ""motorized"", ""in"", ""medium""]","{""woman"": ""NOUN"", ""in"": ""ADP"", ""motorized"": ""NOUN"", ""wheelchair"": ""NOUN"", "":"": ""."", ""medium"": ""NOUN"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1958,👩🏾‍🦼,"[""Woman in Motorized Wheelchair: Medium-Dark Skin Tone""]","[""skin"", ""tone"", ""wheelchair"", "":"", ""medium-dark"", ""woman"", ""motorized"", ""in""]","{""woman"": ""NOUN"", ""in"": ""ADP"", ""motorized"": ""NOUN"", ""wheelchair"": ""NOUN"", "":"": ""."", ""medium-dark"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1959,👩🏿‍🦼,"[""Woman in Motorized Wheelchair: Dark Skin Tone""]","[""skin"", ""dark"", ""tone"", ""wheelchair"", "":"", ""woman"", ""motorized"", ""in""]","{""woman"": ""NOUN"", ""in"": ""ADP"", ""motorized"": ""NOUN"", ""wheelchair"": ""NOUN"", "":"": ""."", ""dark"": ""NOUN"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1960,🧑‍🦽,"[""Person in Manual Wheelchair""]","[""manual"", ""in"", ""person"", ""wheelchair""]","{""person"": ""NOUN"", ""in"": ""ADP"", ""manual"": ""NOUN"", ""wheelchair"": ""NOUN""}"
1961,🧑🏻‍🦽,"[""Person in Manual Wheelchair: Light Skin Tone""]","[""skin"", ""tone"", ""light"", ""person"", ""wheelchair"", "":"", ""manual"", ""in""]","{""person"": ""NOUN"", ""in"": ""ADP"", ""manual"": ""NOUN"", ""wheelchair"": ""NOUN"", "":"": ""."", ""light"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1962,🧑🏼‍🦽,"[""Person in Manual Wheelchair: Medium-Light Skin Tone""]","[""skin"", ""tone"", ""person"", ""wheelchair"", "":"", ""medium-light"", ""manual"", ""in""]","{""person"": ""NOUN"", ""in"": ""ADP"", ""manual"": ""NOUN"", ""wheelchair"": ""NOUN"", "":"": ""."", ""medium-light"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1963,🧑🏽‍🦽,"[""Person in Manual Wheelchair: Medium Skin Tone""]","[""skin"", ""tone"", ""person"", ""wheelchair"", "":"", ""medium"", ""manual"", ""in""]","{""person"": ""NOUN"", ""in"": ""ADP"", ""manual"": ""NOUN"", ""wheelchair"": ""NOUN"", "":"": ""."", ""medium"": ""NOUN"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1964,🧑🏾‍🦽,"[""Person in Manual Wheelchair: Medium-Dark Skin Tone""]","[""skin"", ""tone"", ""person"", ""wheelchair"", "":"", ""medium-dark"", ""manual"", ""in""]","{""person"": ""NOUN"", ""in"": ""ADP"", ""manual"": ""NOUN"", ""wheelchair"": ""NOUN"", "":"": ""."", ""medium-dark"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1965,🧑🏿‍🦽,"[""Person in Manual Wheelchair: Dark Skin Tone""]","[""skin"", ""dark"", ""tone"", ""person"", ""wheelchair"", "":"", ""manual"", ""in""]","{""person"": ""NOUN"", ""in"": ""ADP"", ""manual"": ""NOUN"", ""wheelchair"": ""NOUN"", "":"": ""."", ""dark"": ""NOUN"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1966,👨‍🦽,"[""Man in Manual Wheelchair""]","[""manual"", ""in"", ""wheelchair"", ""man""]","{""man"": ""NOUN"", ""in"": ""ADP"", ""manual"": ""NOUN"", ""wheelchair"": ""NOUN""}"
1967,👨🏻‍🦽,"[""Man in Manual Wheelchair: Light Skin Tone""]","[""skin"", ""tone"", ""light"", ""wheelchair"", "":"", ""manual"", ""in"", ""man""]","{""man"": ""NOUN"", ""in"": ""ADP"", ""manual"": ""NOUN"", ""wheelchair"": ""NOUN"", "":"": ""."", ""light"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1968,👨🏼‍🦽,"[""Man in Manual Wheelchair: Medium-Light Skin Tone""]","[""skin"", ""tone"", ""wheelchair"", "":"", ""medium-light"", ""manual"", ""in"", ""man""]","{""man"": ""NOUN"", ""in"": ""ADP"", ""manual"": ""NOUN"", ""wheelchair"": ""NOUN"", "":"": ""."", ""medium-light"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1969,👨🏽‍🦽,"[""Man in Manual Wheelchair: Medium Skin Tone""]","[""skin"", ""tone"", ""wheelchair"", "":"", ""medium"", ""manual"", ""in"", ""man""]","{""man"": ""NOUN"", ""in"": ""ADP"", ""manual"": ""NOUN"", ""wheelchair"": ""NOUN"", "":"": ""."", ""medium"": ""NOUN"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1970,👨🏾‍🦽,"[""Man in Manual Wheelchair: Medium-Dark Skin Tone""]","[""skin"", ""tone"", ""wheelchair"", "":"", ""medium-dark"", ""manual"", ""in"", ""man""]","{""man"": ""NOUN"", ""in"": ""ADP"", ""manual"": ""NOUN"", ""wheelchair"": ""NOUN"", "":"": ""."", ""medium-dark"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1971,👨🏿‍🦽,"[""Man in Manual Wheelchair: Dark Skin Tone""]","[""skin"", ""dark"", ""tone"", ""wheelchair"", "":"", ""manual"", ""in"", ""man""]","{""man"": ""NOUN"", ""in"": ""ADP"", ""manual"": ""NOUN"", ""wheelchair"": ""NOUN"", "":"": ""."", ""dark"": ""NOUN"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1972,👩‍🦽,"[""Woman in Manual Wheelchair""]","[""manual"", ""in"", ""wheelchair"", ""woman""]","{""woman"": ""NOUN"", ""in"": ""ADP"", ""manual"": ""NOUN"", ""wheelchair"": ""NOUN""}"
1973,👩🏻‍🦽,"[""Woman in Manual Wheelchair: Light Skin Tone""]","[""skin"", ""tone"", ""light"", ""wheelchair"", "":"", ""woman"", ""manual"", ""in""]","{""woman"": ""NOUN"", ""in"": ""ADP"", ""manual"": ""NOUN"", ""wheelchair"": ""NOUN"", "":"": ""."", ""light"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1974,👩🏼‍🦽,"[""Woman in Manual Wheelchair: Medium-Light Skin Tone""]","[""skin"", ""medium-light"", ""tone"", ""wheelchair"", "":"", ""woman"", ""manual"", ""in""]","{""woman"": ""NOUN"", ""in"": ""ADP"", ""manual"": ""NOUN"", ""wheelchair"": ""NOUN"", "":"": ""."", ""medium-light"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1975,👩🏽‍🦽,"[""Woman in Manual Wheelchair: Medium Skin Tone""]","[""skin"", ""tone"", ""wheelchair"", "":"", ""woman"", ""medium"", ""manual"", ""in""]","{""woman"": ""NOUN"", ""in"": ""ADP"", ""manual"": ""NOUN"", ""wheelchair"": ""NOUN"", "":"": ""."", ""medium"": ""NOUN"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1976,👩🏾‍🦽,"[""Woman in Manual Wheelchair: Medium-Dark Skin Tone""]","[""skin"", ""tone"", ""wheelchair"", "":"", ""medium-dark"", ""woman"", ""manual"", ""in""]","{""woman"": ""NOUN"", ""in"": ""ADP"", ""manual"": ""NOUN"", ""wheelchair"": ""NOUN"", "":"": ""."", ""medium-dark"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1977,👩🏿‍🦽,"[""Woman in Manual Wheelchair: Dark Skin Tone""]","[""skin"", ""dark"", ""tone"", ""wheelchair"", "":"", ""woman"", ""manual"", ""in""]","{""woman"": ""NOUN"", ""in"": ""ADP"", ""manual"": ""NOUN"", ""wheelchair"": ""NOUN"", "":"": ""."", ""dark"": ""NOUN"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1978,🏃,"[""Person Running"", ""Jogging"", ""Run""]","[""jogging"", ""person"", ""run"", ""running""]","{""person"": ""NOUN"", ""running"": ""VERB"", ""jogging"": ""VERB"", ""run"": ""VERB""}"
1979,🏃🏻,"[""Person Running: Light Skin Tone""]","[""skin"", ""running"", ""tone"", ""light"", ""person"", "":""]","{""person"": ""NOUN"", ""running"": ""NOUN"", "":"": ""."", ""light"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1980,🏃🏼,"[""Person Running: Medium-Light Skin Tone""]","[""skin"", ""medium-light"", ""tone"", ""running"", ""person"", "":""]","{""person"": ""NOUN"", ""running"": ""VERB"", "":"": ""."", ""medium-light"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1981,🏃🏽,"[""Person Running: Medium Skin Tone""]","[""skin"", ""tone"", ""running"", ""person"", ""medium"", "":""]","{""person"": ""NOUN"", ""running"": ""NOUN"", "":"": ""."", ""medium"": ""NOUN"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1982,🏃🏾,"[""Person Running: Medium-Dark Skin Tone""]","[""skin"", ""medium-dark"", ""tone"", ""running"", ""person"", "":""]","{""person"": ""NOUN"", ""running"": ""VERB"", "":"": ""."", ""medium-dark"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1983,🏃🏿,"[""Person Running: Dark Skin Tone""]","[""skin"", ""tone"", ""dark"", ""running"", ""person"", "":""]","{""person"": ""NOUN"", ""running"": ""NOUN"", "":"": ""."", ""dark"": ""NOUN"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1984,🏃‍♂️,"[""Man Running""]","[""man"", ""running""]","{""man"": ""NOUN"", ""running"": ""VERB""}"
1985,🏃‍♂,"[""Man Running""]","[""man"", ""running""]","{""man"": ""NOUN"", ""running"": ""VERB""}"
1986,🏃🏻‍♂️,"[""Man Running: Light Skin Tone""]","[""skin"", ""running"", ""tone"", ""light"", ""man"", "":""]","{""man"": ""NOUN"", ""running"": ""VERB"", "":"": ""."", ""light"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1987,🏃🏻‍♂,"[""Man Running: Light Skin Tone""]","[""skin"", ""running"", ""tone"", ""light"", ""man"", "":""]","{""man"": ""NOUN"", ""running"": ""VERB"", "":"": ""."", ""light"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1988,🏃🏼‍♂️,"[""Man Running: Medium-Light Skin Tone""]","[""skin"", ""medium-light"", ""tone"", ""running"", ""man"", "":""]","{""man"": ""NOUN"", ""running"": ""VERB"", "":"": ""."", ""medium-light"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1989,🏃🏼‍♂,"[""Man Running: Medium-Light Skin Tone""]","[""skin"", ""medium-light"", ""tone"", ""running"", ""man"", "":""]","{""man"": ""NOUN"", ""running"": ""VERB"", "":"": ""."", ""medium-light"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1990,🏃🏽‍♂️,"[""Man Running: Medium Skin Tone""]","[""skin"", ""tone"", ""running"", ""medium"", ""man"", "":""]","{""man"": ""NOUN"", ""running"": ""VERB"", "":"": ""."", ""medium"": ""NOUN"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1991,🏃🏽‍♂,"[""Man Running: Medium Skin Tone""]","[""skin"", ""tone"", ""running"", ""medium"", ""man"", "":""]","{""man"": ""NOUN"", ""running"": ""VERB"", "":"": ""."", ""medium"": ""NOUN"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1992,🏃🏾‍♂️,"[""Man Running: Medium-Dark Skin Tone""]","[""skin"", ""medium-dark"", ""tone"", ""running"", ""man"", "":""]","{""man"": ""NOUN"", ""running"": ""VERB"", "":"": ""."", ""medium-dark"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1993,🏃🏾‍♂,"[""Man Running: Medium-Dark Skin Tone""]","[""skin"", ""medium-dark"", ""tone"", ""running"", ""man"", "":""]","{""man"": ""NOUN"", ""running"": ""VERB"", "":"": ""."", ""medium-dark"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1994,🏃🏿‍♂️,"[""Man Running: Dark Skin Tone""]","[""skin"", ""tone"", ""dark"", ""running"", ""man"", "":""]","{""man"": ""NOUN"", ""running"": ""VERB"", "":"": ""."", ""dark"": ""NOUN"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1995,🏃🏿‍♂,"[""Man Running: Dark Skin Tone""]","[""skin"", ""tone"", ""dark"", ""running"", ""man"", "":""]","{""man"": ""NOUN"", ""running"": ""VERB"", "":"": ""."", ""dark"": ""NOUN"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1996,🏃‍♀️,"[""Woman Running"", ""Boy Runner""]","[""running"", ""boy"", ""runner"", ""woman""]","{""woman"": ""NOUN"", ""running"": ""VERB"", ""boy"": ""NOUN"", ""runner"": ""NOUN""}"
1997,🏃‍♀,"[""Woman Running"", ""Boy Runner""]","[""running"", ""boy"", ""runner"", ""woman""]","{""woman"": ""NOUN"", ""running"": ""VERB"", ""boy"": ""NOUN"", ""runner"": ""NOUN""}"
