,emoji,src_meanings,clean_meanings
2923,👩🏿‍❤️‍👨🏻,"[""Couple with Heart: Woman, Man, Dark Skin Tone, Light Skin Tone""]","[""couple with heart: woman, man""]"
2924,👩🏿‍❤‍👨🏻,"[""Couple with Heart: Woman, Man, Dark Skin Tone, Light Skin Tone""]","[""couple with heart: woman, man""]"
2925,👩🏿‍❤️‍👨🏼,"[""Couple with Heart: Woman, Man, Dark Skin Tone, Medium-Light Skin Tone""]","[""couple with heart: woman, man""]"
2926,👩🏿‍❤‍👨🏼,"[""Couple with Heart: Woman, Man, Dark Skin Tone, Medium-Light Skin Tone""]","[""couple with heart: woman, man""]"
2927,👩🏿‍❤️‍👨🏽,"[""Couple with Heart: Woman, Man, Dark Skin Tone, Medium Skin Tone""]","[""couple with heart: woman, man""]"
2928,👩🏿‍❤‍👨🏽,"[""Couple with Heart: Woman, Man, Dark Skin Tone, Medium Skin Tone""]","[""couple with heart: woman, man""]"
2929,👩🏿‍❤️‍👨🏾,"[""Couple with Heart: Woman, Man, Dark Skin Tone, Medium-Dark Skin Tone""]","[""couple with heart: woman, man""]"
2930,👩🏿‍❤‍👨🏾,"[""Couple with Heart: Woman, Man, Dark Skin Tone, Medium-Dark Skin Tone""]","[""couple with heart: woman, man""]"
2931,👩🏿‍❤️‍👨🏿,"[""Couple with Heart: Woman, Man, Dark Skin Tone""]","[""couple with heart: woman, man""]"
2932,👩🏿‍❤‍👨🏿,"[""Couple with Heart: Woman, Man, Dark Skin Tone""]","[""couple with heart: woman, man""]"
2933,👨‍❤️‍👨,"[""Couple with Heart: Man, Man""]","[""couple with heart: man, man""]"
2934,👨‍❤‍👨,"[""Couple with Heart: Man, Man""]","[""couple with heart: man, man""]"
2935,👨🏻‍❤️‍👨🏻,"[""Couple with Heart: Man, Man, Light Skin Tone""]","[""couple with heart: man, man""]"
2936,👨🏻‍❤‍👨🏻,"[""Couple with Heart: Man, Man, Light Skin Tone""]","[""couple with heart: man, man""]"
2937,👨🏻‍❤️‍👨🏼,"[""Couple with Heart: Man, Man, Light Skin Tone, Medium-Light Skin Tone""]","[""couple with heart: man, man""]"
2938,👨🏻‍❤‍👨🏼,"[""Couple with Heart: Man, Man, Light Skin Tone, Medium-Light Skin Tone""]","[""couple with heart: man, man""]"
2939,👨🏻‍❤️‍👨🏽,"[""Couple with Heart: Man, Man, Light Skin Tone, Medium Skin Tone""]","[""couple with heart: man, man""]"
2940,👨🏻‍❤‍👨🏽,"[""Couple with Heart: Man, Man, Light Skin Tone, Medium Skin Tone""]","[""couple with heart: man, man""]"
2941,👨🏻‍❤️‍👨🏾,"[""Couple with Heart: Man, Man, Light Skin Tone, Medium-Dark Skin Tone""]","[""couple with heart: man, man""]"
2942,👨🏻‍❤‍👨🏾,"[""Couple with Heart: Man, Man, Light Skin Tone, Medium-Dark Skin Tone""]","[""couple with heart: man, man""]"
2943,👨🏻‍❤️‍👨🏿,"[""Couple with Heart: Man, Man, Light Skin Tone, Dark Skin Tone""]","[""couple with heart: man, man""]"
2944,👨🏻‍❤‍👨🏿,"[""Couple with Heart: Man, Man, Light Skin Tone, Dark Skin Tone""]","[""couple with heart: man, man""]"
2945,👨🏼‍❤️‍👨🏻,"[""Couple with Heart: Man, Man, Medium-Light Skin Tone, Light Skin Tone""]","[""couple with heart: man, man""]"
2946,👨🏼‍❤‍👨🏻,"[""Couple with Heart: Man, Man, Medium-Light Skin Tone, Light Skin Tone""]","[""couple with heart: man, man""]"
2947,👨🏼‍❤️‍👨🏼,"[""Couple with Heart: Man, Man, Medium-Light Skin Tone""]","[""couple with heart: man, man""]"
2948,👨🏼‍❤‍👨🏼,"[""Couple with Heart: Man, Man, Medium-Light Skin Tone""]","[""couple with heart: man, man""]"
2949,👨🏼‍❤️‍👨🏽,"[""Couple with Heart: Man, Man, Medium-Light Skin Tone, Medium Skin Tone""]","[""couple with heart: man, man""]"
2950,👨🏼‍❤‍👨🏽,"[""Couple with Heart: Man, Man, Medium-Light Skin Tone, Medium Skin Tone""]","[""couple with heart: man, man""]"
2951,👨🏼‍❤️‍👨🏾,"[""Couple with Heart: Man, Man, Medium-Light Skin Tone, Medium-Dark Skin Tone""]","[""couple with heart: man, man""]"
2952,👨🏼‍❤‍👨🏾,"[""Couple with Heart: Man, Man, Medium-Light Skin Tone, Medium-Dark Skin Tone""]","[""couple with heart: man, man""]"
2953,👨🏼‍❤️‍👨🏿,"[""Couple with Heart: Man, Man, Medium-Light Skin Tone, Dark Skin Tone""]","[""couple with heart: man, man""]"
2954,👨🏼‍❤‍👨🏿,"[""Couple with Heart: Man, Man, Medium-Light Skin Tone, Dark Skin Tone""]","[""couple with heart: man, man""]"
2955,👨🏽‍❤️‍👨🏻,"[""Couple with Heart: Man, Man, Medium Skin Tone, Light Skin Tone""]","[""couple with heart: man, man""]"
2956,👨🏽‍❤‍👨🏻,"[""Couple with Heart: Man, Man, Medium Skin Tone, Light Skin Tone""]","[""couple with heart: man, man""]"
2957,👨🏽‍❤️‍👨🏼,"[""Couple with Heart: Man, Man, Medium Skin Tone, Medium-Light Skin Tone""]","[""couple with heart: man, man""]"
2958,👨🏽‍❤‍👨🏼,"[""Couple with Heart: Man, Man, Medium Skin Tone, Medium-Light Skin Tone""]","[""couple with heart: man, man""]"
2959,👨🏽‍❤️‍👨🏽,"[""Couple with Heart: Man, Man, Medium Skin Tone""]","[""couple with heart: man, man""]"
2960,👨🏽‍❤‍👨🏽,"[""Couple with Heart: Man, Man, Medium Skin Tone""]","[""couple with heart: man, man""]"
2961,👨🏽‍❤️‍👨🏾,"[""Couple with Heart: Man, Man, Medium Skin Tone, Medium-Dark Skin Tone""]","[""couple with heart: man, man""]"
2962,👨🏽‍❤‍👨🏾,"[""Couple with Heart: Man, Man, Medium Skin Tone, Medium-Dark Skin Tone""]","[""couple with heart: man, man""]"
2963,👨🏽‍❤️‍👨🏿,"[""Couple with Heart: Man, Man, Medium Skin Tone, Dark Skin Tone""]","[""couple with heart: man, man""]"
2964,👨🏽‍❤‍👨🏿,"[""Couple with Heart: Man, Man, Medium Skin Tone, Dark Skin Tone""]","[""couple with heart: man, man""]"
2965,👨🏾‍❤️‍👨🏻,"[""Couple with Heart: Man, Man, Medium-Dark Skin Tone, Light Skin Tone""]","[""couple with heart: man, man""]"
2966,👨🏾‍❤‍👨🏻,"[""Couple with Heart: Man, Man, Medium-Dark Skin Tone, Light Skin Tone""]","[""couple with heart: man, man""]"
2967,👨🏾‍❤️‍👨🏼,"[""Couple with Heart: Man, Man, Medium-Dark Skin Tone, Medium-Light Skin Tone""]","[""couple with heart: man, man""]"
2968,👨🏾‍❤‍👨🏼,"[""Couple with Heart: Man, Man, Medium-Dark Skin Tone, Medium-Light Skin Tone""]","[""couple with heart: man, man""]"
2969,👨🏾‍❤️‍👨🏽,"[""Couple with Heart: Man, Man, Medium-Dark Skin Tone, Medium Skin Tone""]","[""couple with heart: man, man""]"
2970,👨🏾‍❤‍👨🏽,"[""Couple with Heart: Man, Man, Medium-Dark Skin Tone, Medium Skin Tone""]","[""couple with heart: man, man""]"
2971,👨🏾‍❤️‍👨🏾,"[""Couple with Heart: Man, Man, Medium-Dark Skin Tone""]","[""couple with heart: man, man""]"
2972,👨🏾‍❤‍👨🏾,"[""Couple with Heart: Man, Man, Medium-Dark Skin Tone""]","[""couple with heart: man, man""]"
2973,👨🏾‍❤️‍👨🏿,"[""Couple with Heart: Man, Man, Medium-Dark Skin Tone, Dark Skin Tone""]","[""couple with heart: man, man""]"
2974,👨🏾‍❤‍👨🏿,"[""Couple with Heart: Man, Man, Medium-Dark Skin Tone, Dark Skin Tone""]","[""couple with heart: man, man""]"
2975,👨🏿‍❤️‍👨🏻,"[""Couple with Heart: Man, Man, Dark Skin Tone, Light Skin Tone""]","[""couple with heart: man, man""]"
2976,👨🏿‍❤‍👨🏻,"[""Couple with Heart: Man, Man, Dark Skin Tone, Light Skin Tone""]","[""couple with heart: man, man""]"
2977,👨🏿‍❤️‍👨🏼,"[""Couple with Heart: Man, Man, Dark Skin Tone, Medium-Light Skin Tone""]","[""couple with heart: man, man""]"
2978,👨🏿‍❤‍👨🏼,"[""Couple with Heart: Man, Man, Dark Skin Tone, Medium-Light Skin Tone""]","[""couple with heart: man, man""]"
2979,👨🏿‍❤️‍👨🏽,"[""Couple with Heart: Man, Man, Dark Skin Tone, Medium Skin Tone""]","[""couple with heart: man, man""]"
2980,👨🏿‍❤‍👨🏽,"[""Couple with Heart: Man, Man, Dark Skin Tone, Medium Skin Tone""]","[""couple with heart: man, man""]"
2981,👨🏿‍❤️‍👨🏾,"[""Couple with Heart: Man, Man, Dark Skin Tone, Medium-Dark Skin Tone""]","[""couple with heart: man, man""]"
2982,👨🏿‍❤‍👨🏾,"[""Couple with Heart: Man, Man, Dark Skin Tone, Medium-Dark Skin Tone""]","[""couple with heart: man, man""]"
2983,👨🏿‍❤️‍👨🏿,"[""Couple with Heart: Man, Man, Dark Skin Tone""]","[""couple with heart: man, man""]"
2984,👨🏿‍❤‍👨🏿,"[""Couple with Heart: Man, Man, Dark Skin Tone""]","[""couple with heart: man, man""]"
2985,👩‍❤️‍👩,"[""Couple with Heart: Woman, Woman""]","[""couple with heart: woman, woman""]"
2986,👩‍❤‍👩,"[""Couple with Heart: Woman, Woman""]","[""couple with heart: woman, woman""]"
2987,👩🏻‍❤️‍👩🏻,"[""Couple with Heart: Woman, Woman, Light Skin Tone""]","[""couple with heart: woman, woman""]"
2988,👩🏻‍❤‍👩🏻,"[""Couple with Heart: Woman, Woman, Light Skin Tone""]","[""couple with heart: woman, woman""]"
2989,👩🏻‍❤️‍👩🏼,"[""Couple with Heart: Woman, Woman, Light Skin Tone, Medium-Light Skin Tone""]","[""couple with heart: woman, woman""]"
2990,👩🏻‍❤‍👩🏼,"[""Couple with Heart: Woman, Woman, Light Skin Tone, Medium-Light Skin Tone""]","[""couple with heart: woman, woman""]"
2991,👩🏻‍❤️‍👩🏽,"[""Couple with Heart: Woman, Woman, Light Skin Tone, Medium Skin Tone""]","[""couple with heart: woman, woman""]"
2992,👩🏻‍❤‍👩🏽,"[""Couple with Heart: Woman, Woman, Light Skin Tone, Medium Skin Tone""]","[""couple with heart: woman, woman""]"
2993,👩🏻‍❤️‍👩🏾,"[""Couple with Heart: Woman, Woman, Light Skin Tone, Medium-Dark Skin Tone""]","[""couple with heart: woman, woman""]"
2994,👩🏻‍❤‍👩🏾,"[""Couple with Heart: Woman, Woman, Light Skin Tone, Medium-Dark Skin Tone""]","[""couple with heart: woman, woman""]"
2995,👩🏻‍❤️‍👩🏿,"[""Couple with Heart: Woman, Woman, Light Skin Tone, Dark Skin Tone""]","[""couple with heart: woman, woman""]"
2996,👩🏻‍❤‍👩🏿,"[""Couple with Heart: Woman, Woman, Light Skin Tone, Dark Skin Tone""]","[""couple with heart: woman, woman""]"
2997,👩🏼‍❤️‍👩🏻,"[""Couple with Heart: Woman, Woman, Medium-Light Skin Tone, Light Skin Tone""]","[""couple with heart: woman, woman""]"
2998,👩🏼‍❤‍👩🏻,"[""Couple with Heart: Woman, Woman, Medium-Light Skin Tone, Light Skin Tone""]","[""couple with heart: woman, woman""]"
2999,👩🏼‍❤️‍👩🏼,"[""Couple with Heart: Woman, Woman, Medium-Light Skin Tone""]","[""couple with heart: woman, woman""]"
3000,👩🏼‍❤‍👩🏼,"[""Couple with Heart: Woman, Woman, Medium-Light Skin Tone""]","[""couple with heart: woman, woman""]"
3001,👩🏼‍❤️‍👩🏽,"[""Couple with Heart: Woman, Woman, Medium-Light Skin Tone, Medium Skin Tone""]","[""couple with heart: woman, woman""]"
3002,👩🏼‍❤‍👩🏽,"[""Couple with Heart: Woman, Woman, Medium-Light Skin Tone, Medium Skin Tone""]","[""couple with heart: woman, woman""]"
3003,👩🏼‍❤️‍👩🏾,"[""Couple with Heart: Woman, Woman, Medium-Light Skin Tone, Medium-Dark Skin Tone""]","[""couple with heart: woman, woman""]"
3004,👩🏼‍❤‍👩🏾,"[""Couple with Heart: Woman, Woman, Medium-Light Skin Tone, Medium-Dark Skin Tone""]","[""couple with heart: woman, woman""]"
3005,👩🏼‍❤️‍👩🏿,"[""Couple with Heart: Woman, Woman, Medium-Light Skin Tone, Dark Skin Tone""]","[""couple with heart: woman, woman""]"
3006,👩🏼‍❤‍👩🏿,"[""Couple with Heart: Woman, Woman, Medium-Light Skin Tone, Dark Skin Tone""]","[""couple with heart: woman, woman""]"
3007,👩🏽‍❤️‍👩🏻,"[""Couple with Heart: Woman, Woman, Medium Skin Tone, Light Skin Tone""]","[""couple with heart: woman, woman""]"
3008,👩🏽‍❤‍👩🏻,"[""Couple with Heart: Woman, Woman, Medium Skin Tone, Light Skin Tone""]","[""couple with heart: woman, woman""]"
3009,👩🏽‍❤️‍👩🏼,"[""Couple with Heart: Woman, Woman, Medium Skin Tone, Medium-Light Skin Tone""]","[""couple with heart: woman, woman""]"
3010,👩🏽‍❤‍👩🏼,"[""Couple with Heart: Woman, Woman, Medium Skin Tone, Medium-Light Skin Tone""]","[""couple with heart: woman, woman""]"
3011,👩🏽‍❤️‍👩🏽,"[""Couple with Heart: Woman, Woman, Medium Skin Tone""]","[""couple with heart: woman, woman""]"
3012,👩🏽‍❤‍👩🏽,"[""Couple with Heart: Woman, Woman, Medium Skin Tone""]","[""couple with heart: woman, woman""]"
3013,👩🏽‍❤️‍👩🏾,"[""Couple with Heart: Woman, Woman, Medium Skin Tone, Medium-Dark Skin Tone""]","[""couple with heart: woman, woman""]"
3014,👩🏽‍❤‍👩🏾,"[""Couple with Heart: Woman, Woman, Medium Skin Tone, Medium-Dark Skin Tone""]","[""couple with heart: woman, woman""]"
3015,👩🏽‍❤️‍👩🏿,"[""Couple with Heart: Woman, Woman, Medium Skin Tone, Dark Skin Tone""]","[""couple with heart: woman, woman""]"
3016,👩🏽‍❤‍👩🏿,"[""Couple with Heart: Woman, Woman, Medium Skin Tone, Dark Skin Tone""]","[""couple with heart: woman, woman""]"
3017,👩🏾‍❤️‍👩🏻,"[""Couple with Heart: Woman, Woman, Medium-Dark Skin Tone, Light Skin Tone""]","[""couple with heart: woman, woman""]"
3018,👩🏾‍❤‍👩🏻,"[""Couple with Heart: Woman, Woman, Medium-Dark Skin Tone, Light Skin Tone""]","[""couple with heart: woman, woman""]"
3019,👩🏾‍❤️‍👩🏼,"[""Couple with Heart: Woman, Woman, Medium-Dark Skin Tone, Medium-Light Skin Tone""]","[""couple with heart: woman, woman""]"
3020,👩🏾‍❤‍👩🏼,"[""Couple with Heart: Woman, Woman, Medium-Dark Skin Tone, Medium-Light Skin Tone""]","[""couple with heart: woman, woman""]"
3021,👩🏾‍❤️‍👩🏽,"[""Couple with Heart: Woman, Woman, Medium-Dark Skin Tone, Medium Skin Tone""]","[""couple with heart: woman, woman""]"
3022,👩🏾‍❤‍👩🏽,"[""Couple with Heart: Woman, Woman, Medium-Dark Skin Tone, Medium Skin Tone""]","[""couple with heart: woman, woman""]"
3023,👩🏾‍❤️‍👩🏾,"[""Couple with Heart: Woman, Woman, Medium-Dark Skin Tone""]","[""couple with heart: woman, woman""]"
3024,👩🏾‍❤‍👩🏾,"[""Couple with Heart: Woman, Woman, Medium-Dark Skin Tone""]","[""couple with heart: woman, woman""]"
3025,👩🏾‍❤️‍👩🏿,"[""Couple with Heart: Woman, Woman, Medium-Dark Skin Tone, Dark Skin Tone""]","[""couple with heart: woman, woman""]"
3026,👩🏾‍❤‍👩🏿,"[""Couple with Heart: Woman, Woman, Medium-Dark Skin Tone, Dark Skin Tone""]","[""couple with heart: woman, woman""]"
3027,👩🏿‍❤️‍👩🏻,"[""Couple with Heart: Woman, Woman, Dark Skin Tone, Light Skin Tone""]","[""couple with heart: woman, woman""]"
3028,👩🏿‍❤‍👩🏻,"[""Couple with Heart: Woman, Woman, Dark Skin Tone, Light Skin Tone""]","[""couple with heart: woman, woman""]"
3029,👩🏿‍❤️‍👩🏼,"[""Couple with Heart: Woman, Woman, Dark Skin Tone, Medium-Light Skin Tone""]","[""couple with heart: woman, woman""]"
3030,👩🏿‍❤‍👩🏼,"[""Couple with Heart: Woman, Woman, Dark Skin Tone, Medium-Light Skin Tone""]","[""couple with heart: woman, woman""]"
3031,👩🏿‍❤️‍👩🏽,"[""Couple with Heart: Woman, Woman, Dark Skin Tone, Medium Skin Tone""]","[""couple with heart: woman, woman""]"
3032,👩🏿‍❤‍👩🏽,"[""Couple with Heart: Woman, Woman, Dark Skin Tone, Medium Skin Tone""]","[""couple with heart: woman, woman""]"
3033,👩🏿‍❤️‍👩🏾,"[""Couple with Heart: Woman, Woman, Dark Skin Tone, Medium-Dark Skin Tone""]","[""couple with heart: woman, woman""]"
3034,👩🏿‍❤‍👩🏾,"[""Couple with Heart: Woman, Woman, Dark Skin Tone, Medium-Dark Skin Tone""]","[""couple with heart: woman, woman""]"
3035,👩🏿‍❤️‍👩🏿,"[""Couple with Heart: Woman, Woman, Dark Skin Tone""]","[""couple with heart: woman, woman""]"
3036,👩🏿‍❤‍👩🏿,"[""Couple with Heart: Woman, Woman, Dark Skin Tone""]","[""couple with heart: woman, woman""]"
3037,👪,"[""Family"", ""Parents With Child""]","[""family"", ""parents with child""]"
3038,👨‍👩‍👦,"[""Family: Man, Woman, Boy""]","[""family: man, woman, boy""]"
3039,👨‍👩‍👧,"[""Family: Man, Woman, Girl""]","[""family: man, woman, girl""]"
3040,👨‍👩‍👧‍👦,"[""Family: Man, Woman, Girl, Boy""]","[""family: man, woman, girl, boy""]"
3041,👨‍👩‍👦‍👦,"[""Family: Man, Woman, Boy, Boy""]","[""family: man, woman, boy, boy""]"
3042,👨‍👩‍👧‍👧,"[""Family: Man, Woman, Girl, Girl""]","[""family: man, woman, girl, girl""]"
3043,👨‍👨‍👦,"[""Family: Man, Man, Boy""]","[""family: man, man, boy""]"
3044,👨‍👨‍👧,"[""Family: Man, Man, Girl""]","[""family: man, man, girl""]"
3045,👨‍👨‍👧‍👦,"[""Family: Man, Man, Girl, Boy""]","[""family: man, man, girl, boy""]"
3046,👨‍👨‍👦‍👦,"[""Family: Man, Man, Boy, Boy""]","[""family: man, man, boy, boy""]"
3047,👨‍👨‍👧‍👧,"[""Family: Man, Man, Girl, Girl""]","[""family: man, man, girl, girl""]"
3048,👩‍👩‍👦,"[""Family: Woman, Woman, Boy""]","[""family: woman, woman, boy""]"
3049,👩‍👩‍👧,"[""Family: Woman, Woman, Girl""]","[""family: woman, woman, girl""]"
3050,👩‍👩‍👧‍👦,"[""Family: Woman, Woman, Girl, Boy""]","[""family: woman, woman, girl, boy""]"
3051,👩‍👩‍👦‍👦,"[""Family: Woman, Woman, Boy, Boy""]","[""family: woman, woman, boy, boy""]"
3052,👩‍👩‍👧‍👧,"[""Family: Woman, Woman, Girl, Girl""]","[""family: woman, woman, girl, girl""]"
3053,👨‍👦,"[""Family: Man, Boy""]","[""family: man, boy""]"
3054,👨‍👦‍👦,"[""Family: Man, Boy, Boy""]","[""family: man, boy, boy""]"
3055,👨‍👧,"[""Family: Man, Girl""]","[""family: man, girl""]"
3056,👨‍👧‍👦,"[""Family: Man, Girl, Boy""]","[""family: man, girl, boy""]"
3057,👨‍👧‍👧,"[""Family: Man, Girl, Girl""]","[""family: man, girl, girl""]"
3058,👩‍👦,"[""Family: Woman, Boy""]","[""family: woman, boy""]"
3059,👩‍👦‍👦,"[""Family: Woman, Boy, Boy""]","[""family: woman, boy, boy""]"
3060,👩‍👧,"[""Family: Woman, Girl""]","[""family: woman, girl""]"
3061,👩‍👧‍👦,"[""Family: Woman, Girl, Boy""]","[""family: woman, girl, boy""]"
3062,👩‍👧‍👧,"[""Family: Woman, Girl, Girl""]","[""family: woman, girl, girl""]"
3063,🗣️,"[""Speaking Head"", ""Mansplaining"", ""Shout"", ""Shouting""]","[""speaking head"", ""mansplaining"", ""shout"", ""shouting""]"
3064,🗣,"[""Speaking Head"", ""Mansplaining"", ""Shout"", ""Shouting""]","[""speaking head"", ""mansplaining"", ""shout"", ""shouting""]"
3065,👤,"[""Bust in Silhouette"", ""Shadow"", ""Silhouette"", ""User""]","[""bust in silhouette"", ""shadow"", ""silhouette"", ""user""]"
3066,👥,"[""Busts in Silhouette"", ""Shadows"", ""Silhouettes"", ""Users""]","[""busts in silhouette"", ""shadows"", ""silhouettes"", ""users""]"
3067,🫂,"[""People Hugging""]","[""people hugging""]"
3068,👣,"[""Footprints"", ""Feet"", ""Footsteps""]","[""footprints"", ""feet"", ""footsteps""]"
3069,🐵,"[""Monkey Face"", ""Monkey Head""]","[""monkey face"", ""monkey head""]"
3070,🐒,"[""Monkey"", ""Cheeky Monkey""]","[""monkey"", ""cheeky monkey""]"
3071,🦍,"[""Gorilla""]","[""gorilla""]"
3072,🦧,"[""Orangutan""]","[""orangutan""]"
3073,🐶,"[""Dog Face"", ""Dog"", ""Puppy""]","[""dog face"", ""dog"", ""puppy""]"
3074,🐕,"[""Dog"", ""Doggo""]","[""dog"", ""doggo""]"
3075,🦮,"[""Guide Dog"", ""Seeing Eye Dog""]","[""guide dog"", ""seeing eye dog""]"
3076,🐕‍🦺,"[""Service Dog""]","[""service dog""]"
3077,🐩,"[""Poodle"", ""Miniature Poodle"", ""Standard Poodle"", ""Toy Poodle""]","[""poodle"", ""miniature poodle"", ""standard poodle"", ""toy poodle""]"
3078,🐺,"[""Wolf""]","[""wolf""]"
3079,🦊,"[""Fox"", ""Fox""]","[""fox"", ""fox""]"
3080,🦝,"[""Raccoon""]","[""raccoon""]"
